First_pokemon,Second_pokemon,Winner
129,117,129
660,211,211
706,115,706
195,618,618
27,656,27
126,222,126
436,207,436
121,36,36
169,636,169
302,688,302
39,380,380
11,292,11
228,747,747
302,763,302
455,436,436
381,14,381
205,710,205
86,639,639
128,681,681
565,570,570
496,448,496
36,378,36
518,284,518
97,376,376
690,542,542
669,482,482
164,15,164
521,773,773
260,107,260
524,140,524
789,275,275
412,490,490
76,9,9
100,449,100
335,347,347
137,542,542
437,40,40
222,635,635
363,41,41
374,482,482
353,339,339
152,341,341
401,702,702
682,742,682
575,509,575
682,274,682
786,773,773
458,601,601
130,260,130
323,165,165
714,502,714
130,382,130
399,193,193
135,761,135
42,515,42
151,703,703
416,591,591
751,137,137
614,657,614
346,74,74
593,82,82
301,94,301
230,474,474
132,60,132
715,785,715
300,736,300
340,182,340
370,359,370
70,788,788
519,264,264
99,551,551
191,475,475
704,334,704
602,722,722
25,75,25
290,53,53
487,461,461
277,128,128
740,711,711
341,800,341
549,635,635
313,755,313
138,211,138
364,273,273
390,363,363
602,345,345
605,109,109
689,221,689
116,141,141
257,247,257
2,246,246
256,269,269
157,163,163
106,617,106
335,774,335
368,317,317
103,34,103
392,223,223
248,597,248
535,692,535
99,676,99
238,219,219
672,177,177
586,482,482
766,773,766
64,779,64
185,732,732
337,664,337
318,306,306
575,34,34
472,201,472
724,259,724
551,169,551
364,798,798
124,755,124
174,9,9
376,739,376
110,346,110
505,434,505
255,776,255
464,303,303
120,201,201
578,157,157
325,289,325
604,638,638
208,84,84
735,390,735
417,682,682
489,581,581
331,744,744
252,527,527
738,339,339
289,567,567
185,742,742
703,44,703
369,298,369
316,255,316
669,702,702
175,327,175
305,553,553
339,132,339
387,196,387
447,148,148
107,142,142
431,435,431
43,761,43
40,33,40
453,796,453
281,478,478
32,63,32
495,439,495
104,355,355
544,155,155
411,190,411
517,662,662
534,640,534
631,800,631
312,202,202
602,770,770
462,426,426
104,707,707
225,139,139
255,40,40
72,764,72
390,611,611
389,298,298
344,589,344
675,272,272
269,91,269
599,511,511
83,18,83
569,479,479
180,220,180
787,514,787
458,676,676
715,187,715
737,798,737
524,510,524
579,576,576
778,577,778
222,580,580
472,125,472
735,729,735
652,245,245
144,756,756
213,550,550
433,689,689
590,339,339
419,593,419
431,790,790
6,364,6
733,379,379
22,474,474
327,70,70
243,366,366
215,467,467
478,492,478
705,609,705
505,693,505
729,314,314
570,734,570
411,632,632
769,758,758
234,123,234
263,281,263
94,616,616
368,307,307
212,637,212
326,794,794
120,55,55
770,104,104
501,452,452
289,192,192
598,665,598
20,523,20
620,651,620
481,726,481
368,190,368
99,194,99
42,81,42
718,112,718
362,233,362
584,220,220
582,161,582
773,2,773
332,384,384
136,415,136
385,673,673
454,607,607
372,679,679
710,390,710
589,709,709
540,305,540
21,96,21
48,324,48
391,65,65
742,382,382
32,503,32
98,395,98
466,401,466
198,115,115
536,598,536
272,630,272
696,393,393
499,359,499
554,669,554
752,564,752
793,544,544
432,196,432
428,1,428
236,550,550
420,263,263
631,389,631
662,24,24
579,357,357
635,608,608
397,774,397
464,682,682
271,70,70
547,440,547
301,751,301
210,547,547
279,740,279
779,657,657
554,605,554
41,276,276
259,660,660
666,118,666
298,566,298
414,566,414
389,98,98
168,54,168
37,769,37
387,132,132
113,582,582
550,703,550
172,117,172
163,577,163
94,587,587
697,629,629
733,743,743
462,199,462
530,19,19
22,411,22
649,656,649
768,548,548
531,748,531
217,538,538
711,289,711
473,458,473
318,552,552
644,576,576
179,236,179
567,309,309
447,412,412
15,304,304
613,207,613
126,27,27
38,335,335
364,694,694
556,454,556
679,718,679
3,483,3
13,779,13
146,564,146
636,47,47
513,436,513
122,421,421
704,606,704
231,346,346
558,261,261
413,477,477
379,40,40
790,133,133
34,682,682
566,285,566
241,193,193
40,792,792
486,322,322
795,23,23
653,463,463
401,331,401
397,60,397
89,235,235
221,220,221
41,685,685
549,114,549
360,225,225
422,83,422
283,323,283
549,760,549
301,149,301
452,521,521
698,634,634
347,34,34
304,411,304
610,282,610
727,709,727
305,772,772
382,711,711
99,165,165
488,286,286
22,194,22
164,434,164
595,376,376
772,169,772
38,161,161
356,144,144
77,590,590
141,520,141
329,507,507
434,549,549
759,498,498
304,456,304
642,255,255
653,636,636
338,173,338
446,362,362
619,218,619
266,623,623
729,93,93
203,345,345
340,166,340
789,458,458
513,498,513
746,221,746
588,767,588
552,733,552
615,243,615
578,191,191
152,354,152
526,53,526
481,598,481
658,362,658
361,612,361
174,481,481
380,743,380
212,390,212
730,338,338
404,780,780
169,748,748
686,27,27
360,356,356
190,116,116
163,345,163
394,395,394
473,308,473
284,619,284
121,392,392
558,748,748
311,48,48
2,510,2
627,257,257
734,70,70
333,587,587
128,756,756
55,285,55
431,261,261
182,447,182
737,333,737
787,418,418
597,561,597
196,438,438
113,117,113
771,571,571
523,300,300
138,589,138
454,788,454
519,541,541
729,270,270
175,333,175
396,245,245
48,540,540
331,24,24
568,465,465
584,560,560
511,460,511
88,65,65
382,562,562
672,214,214
176,469,469
438,214,438
300,36,300
425,798,425
773,64,773
317,220,220
423,455,423
574,772,772
148,712,712
528,330,528
421,410,410
392,278,392
697,273,697
546,439,546
675,660,660
788,70,788
265,16,265
72,164,72
413,10,413
81,656,656
302,548,302
15,299,299
33,92,92
521,473,521
747,739,747
614,730,614
264,697,264
207,301,301
154,579,154
532,443,443
477,657,477
256,575,575
271,453,453
614,568,614
84,348,84
96,479,479
365,574,574
549,719,549
761,235,235
792,681,792
396,89,396
214,107,214
456,423,423
46,712,712
733,674,674
147,772,147
559,476,476
135,323,135
16,631,631
354,28,28
637,555,555
84,712,712
344,206,206
34,525,525
163,329,163
430,8,430
156,446,446
724,210,724
455,631,631
780,618,618
276,369,276
412,777,777
540,208,540
242,587,587
37,73,37
359,77,359
381,3,3
638,327,638
698,169,169
670,570,570
787,609,787
180,243,180
639,742,742
125,777,125
790,316,316
363,324,363
154,285,154
147,399,147
595,251,595
471,581,581
227,476,476
668,301,301
179,128,179
2,481,481
175,506,175
410,481,410
488,271,271
454,381,454
468,154,154
18,116,116
638,204,204
477,188,477
481,509,481
666,558,666
482,705,705
115,322,115
441,318,441
68,44,44
392,740,740
24,22,24
767,617,617
588,586,586
251,426,426
685,778,778
718,69,718
752,678,752
305,6,6
572,443,572
286,382,382
85,415,85
53,602,602
641,450,450
37,650,37
717,593,717
675,496,675
591,135,135
362,131,131
333,412,412
285,156,285
436,452,436
667,40,40
41,504,504
171,661,171
477,674,477
649,75,649
218,514,514
437,138,138
763,223,223
583,789,583
156,628,628
788,6,6
341,523,341
331,120,120
669,495,495
669,636,636
28,653,28
143,349,349
135,54,135
378,163,163
143,623,623
576,492,576
779,682,682
375,704,704
770,472,472
21,417,21
228,537,537
153,651,153
622,8,8
305,361,361
426,402,426
68,549,549
7,182,7
445,14,14
198,56,198
133,742,133
678,3,3
405,328,405
183,204,204
516,747,516
93,141,93
716,51,716
255,44,44
638,531,531
284,605,284
313,398,398
296,789,296
98,78,78
222,520,520
506,428,428
786,686,786
479,694,694
525,299,299
721,293,293
350,279,350
473,319,473
468,144,144
161,702,702
687,758,758
447,451,451
647,654,647
228,7,7
784,678,784
90,668,90
708,204,708
795,406,406
201,686,686
125,722,125
494,398,494
285,415,415
643,177,643
506,350,350
658,203,658
632,207,632
330,550,550
703,692,703
620,602,620
585,668,668
315,704,704
442,265,265
365,307,307
